Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8395251386,2.43334109188;Platanus;x hispanica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002371.0;Arbre;Jardin;BOIS DE VINCENNES;12-janv;;12-janv;607.0;30.0;M;Inconnue;;1918-01-01T01:00:00+01:00;1;207904;Platane
48.8334358135,2.41279793669;Juglans;nigra;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;2002367.0;Arbre;Jardin;BOIS DE VINCENNES;12-avr;;12-avr;585.0;26.0;A;Inconnue;;1845-01-01T01:02:49+00:53;1;64923;Noyer
48.8606050739,2.25977704939;Taxodium;distichum;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;2002397.0;Arbre;Jardin;BOIS DE BOULOGNE;16-mars;;101003;354.0;32.0;M;Inconnue;;1862-01-01T01:02:49+00:53;1;98228;CyprÃ¨s Chauve
48.8527676299,2.35102356684;Corylus;colurna;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;125046.0;Arbre;Jardin;PARIS 4E ARRDT;04-avr;;54;210.0;19.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;144105;Noisetier de Byzance
48.8433078707,2.44974260862;Quercus;robur;FORT NEUF - AVENUE DE LA PEPINIERE / ROUTE DU GRAND MARECHAL;2002375.0;Arbre;Jardin;BOIS DE VINCENNES;déc-26;;déc-26;464.0;30.0;M;Inconnue;;1815-01-01T01:02:49+00:53;1;116112;ChÃªne
48.864817945,2.252676244;Sequoiadendron;giganteum;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002394.0;Arbre;Jardin;BOIS DE BOULOGNE;16-14;;501003;634.0;32.0;A;Inconnue;;1872-01-01T01:02:49+00:53;1;117888;Sequoia
48.8388163194,2.40656685552;Quercus;frainetto;SQUARE CHARLES PEGUY;123156.0;Arbre;Jardin;PARIS 12E ARRDT;déc-37;;26;169.0;14.0;A;Inconnue;;1990-01-01T02:00:00+01:00;1;157227;ChÃªne
48.8819364512,2.39826376533;Fraxinus;excelsior;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;127998.0;Arbre;Jardin;PARIS 19E ARRDT;19-janv;;509;385.0;24.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;167986;FrÃªne
48.8210095188,2.4555149836;Pinus;coulteri;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002379.0;Arbre;Jardin;BOIS DE VINCENNES;déc-20;;déc-20;234.0;17.0;A;Inconnue;;2000-01-01T02:00:00+01:00;1;172130;Pin
48.8801157455,2.38566682415;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;102028.0;Arbre;Jardin;PARIS 19E ARRDT;;;G0380002;323.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;192782;Marronnier
48.8330206707,2.34991527056;Quercus;cerris;SQUARE RENE LE GALL;104839.0;Arbre;Jardin;PARIS 13E ARRDT;13-avr;;10268;130.0;10.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;100307;ChÃªne
48.8615946163,2.29103626939;Corylus;colurna;JARDIN DU TROCADERO;108256.0;Arbre;Jardin;PARIS 16E ARRDT;16-57;;397;258.0;20.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;172409;Noisetier de Byzance
48.8682643074,2.36315743986;Quercus;cerris;PLACE DE LA REPUBLIQUE;2017817.0;Arbre;Alignement;PARIS 10E ARRDT;;;208001;49.0;7.0;J;Guillot Bourne;;2017-11-09T02:00:00+01:00;1;97319;ChÃªne
48.839886234,2.43388312679;Fagus;sylvatica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002372.0;Arbre;Jardin;BOIS DE VINCENNES;déc-22;;déc-22;414.0;16.0;M;Inconnue;''Pendula'';1864-01-01T01:02:49+00:53;1;104257;HÃªtre
48.8860986781,2.3446801359;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL;120518.0;Arbre;Jardin;PARIS 18E ARRDT;18-déc;;127;375.0;26.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;107241;Pterocarya
48.8578039088,2.39574078452;Eucommia;ulmoides;CIMETIERE DU PERE LACHAISE / DIV 75;155948.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-nov;;D00000075015;120.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;107966;Arbre Ã  Gutta-Percha
48.8465652331,2.25242001202;Quercus;ilex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136323.0;Arbre;Jardin;PARIS 16E ARRDT;;;40039;233.0;13.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;108190;ChÃªne
48.8729000638,2.29056540474;Morus;nigra;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114685.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 14 - 11 Ã  27;;103010;150.0;8.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;179259;MÃ»rier
48.8859514292,2.34167969275;Sophora;japonica;SQUARE NADAR / 2 RUE SAINT ELEUTHERE;120761.0;Arbre;Jardin;PARIS 18E ARRDT;18-juil;;102003;305.0;16.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;124927;Sophora
48.8394051605,2.43337448245;Liriodendron;tulipifera;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002370.0;Arbre;Jardin;BOIS DE VINCENNES;12-févr;;12-févr;298.0;30.0;M;Inconnue;;1862-01-01T01:02:49+00:53;1;148644;Tulipier
