Timer,ID,Station,Code Station,Carte de crédit,Etat de la station,Nb bornes disponibles,Nombres de bornes en station,Nombre vélo en PARK+,Nb vélo mécanique,Nb vélo électrique,Etat kiosque,Overflowactivation,geo
2020-02-08 12:44:01,cddeea6fc4a291e387022c30ef7570df2a02064f,Exelmans - Versailles,16039,yes,Operative,0,0,0,5,2,yes,no,"[48.84097491091973, 2.264390252530575]"
2020-02-08 12:44:01,663ee4ff1154d44c1798ba102f48a9c26e9b1e45,Amelot - Saint-Sébastien,11047,no,Operative,26,30,0,4,0,yes,no,"[48.86114216276092, 2.367799618107727]"
2020-02-08 12:44:01,a0e92325e1f97b589a18ac766ff75e1b1819c920,Pereire - Rennequin,17030,yes,Operative,0,0,0,2,3,yes,no,"[48.88364782887555, 2.2952447086572647]"
2020-02-08 12:44:01,80879a17ea308b0bdb78fceb1ee4098776423755,Claude Decaen - Cannebière,12111,no,Operative,20,27,0,0,7,yes,no,"[48.83761417037952, 2.397253782195704]"
2020-02-08 12:44:01,6dc4e9f0481a10d7ee2f829eebef36d320df3715,Gare d'Austerlitz,13014,yes,Operative,0,1,0,9,1,yes,no,"[48.842524, 2.364044]"
2020-02-08 12:44:01,8e4a5f63171bc3462a0d851c656a3a672bd10574,Desaix - Edgar Faure,15067,yes,Operative,7,12,0,4,1,yes,no,"[48.852804604940296, 2.293077029857222]"
2020-02-08 12:44:01,8bac2fed13d54cadb526b2a356af0e68e21a6d24,Delphine Seyrig - Général Leclerc,19043,no,Operative,42,53,0,7,3,yes,no,"[48.893923963057865, 2.39790290594101]"
2020-02-08 12:44:01,01ca7dc6f96c26d3603629649583ee0b3dd576e0,Panthéon - Valette,5032,no,Operative,29,39,0,3,7,yes,no,"[48.84702057165222, 2.3464982619671075]"
2020-02-08 12:44:01,179da0dd13762b3a3e26a47dc9a404776db4be03,Cimetière de Montrouge,14020,no,Operative,55,58,0,2,1,yes,no,"[48.822009, 2.322188699]"
2020-02-08 12:44:01,35cd7d7b594031210db30eb4ba2867fc3f28037b,Charles de Gaulle - Beauté,41302,yes,Operative,26,47,0,10,12,yes,no,"[48.83649602312711, 2.479562651149885]"
2020-02-08 12:44:01,17c7a7d5829752fed86cd90fa6af135b607f1d3d,Récollets - Square Villemin,10016,no,Operative,9,17,0,2,6,yes,no,"[48.875034655883944, 2.359801238597928]"
2020-02-08 12:44:01,a0492b1818cb77be8caae0e0b4bb72fb4655c196,Gare RER - Canadiens,43401,yes,Operative,41,45,0,1,3,yes,no,"[48.81995307955795, 2.464176752459464]"
2020-02-08 12:44:01,bbf4643d2bc9ed239ff9b81ecbb206515f5c082a,Notre-Dame-des-Champs - Stanislas,6006,yes,Operative,0,0,0,1,0,yes,no,"[48.84479928858768, 2.329337755887181]"
